X,Y,Z,Al_%,Si_%,S_%,K_%,Ca_%,Ti_%,V_%,Mn_%,Fe_%,Ni_%,Cu_%,Zn_%,As_%,Y_%,Sr_%,Zr_%,Pb_%,Rb_%,Bi_%,U_%,Co_%
0,0,2.443,9.728,3.4368,1.9156,0.8265,12.6708,0.1005,0.0258,0.5915,0.7312,0.004,0,0.0069,0,0.0223,0.0189,0,0.0223,0.0092,0,0.0687,0.0031
0.2,0,2.439,1.6967,3.5624,1.9683,1.0594,14.3517,0.1343,0.0288,0.7963,1.1909,0.0117,0.0097,0.0045,0.0075,0.0296,0.0298,0.0463,0,0.0185,0,0.0597,0.0008
0.4,0,2.439,13.5263,5.2928,1.7948,1.0408,13.1444,0.1142,0.026,0.5544,0.8206,0.0044,0,0.005,0,0.0169,0.0105,0.0136,0.0097,0.0037,0.0121,0.0605,0.0015
0.6,0,2.439,2.9546,1.5828,2.2644,1.021,12.8169,0.144,0.0437,0.7228,1.1491,0.0152,0,0.0096,0.0059,0.0248,0.0601,0.0102,0,0.0181,0.0278,0.1483,0
0.8,0,2.439,12.5907,4.9784,3.9977,1.007,12.8412,0.1045,0.0346,0.4932,0.797,0.0055,0.0021,0.0122,0.0083,0.0127,0.0309,0.0543,0,0.0145,0,0.0839,0.0061
1,0,2.439,7.1888,4.1605,2.9775,1.0076,12.311,0.1514,0.042,0.5802,0.9608,0.0124,0,0.0107,0,0.0343,0.0449,0.0635,0.0476,0,0.0339,0.107,0.005
1.2,0,2.439,10.2556,5.506,3.1267,0.9171,11.8154,0.1156,0.0601,0.5893,0.8226,0.0069,0.0047,0.0123,0,0.0111,0.0316,0.0115,0.0166,0.0066,0.0161,0,0.0093
1.4,0,2.439,8.0817,4.7556,2.9376,1.0984,12.4119,0.117,0.0435,0.6392,0.8712,0.0069,0,0.0135,0.0024,0.0322,0.0197,0.0148,0.026,0,0.0257,0.082,0.0032
1.6,0,2.439,3.0981,5.455,0.2681,1.1215,13.0044,0.1701,0.041,0.8348,0.994,0,0,0.0145,0.0068,0.0104,0.053,0.0201,0.0177,0.0083,0,0.3027,0
1.8,0,2.439,3.6805,6.9884,0.0692,1.1724,12.1603,0.1428,0.0504,0.7095,1.1001,0.0029,0.0067,0.0115,0.0207,0.0426,0.0039,0.0499,0,0,0,0.0983,0.0013
2,0,2.439,0,3.1092,1.2123,1.0753,13.1629,0.1445,0.0574,0.8243,1.1345,0.0139,0,0.0064,0.0224,0.0427,0.0427,0.0241,0,0.0121,0.0375,0.2236,0.0028
2.2,0,2.439,1.553,2.6919,1.2145,0.9745,13.6613,0.1305,0.038,0.7511,0.9909,0,0,0.0055,0,0.0375,0.0442,0.0567,0.0235,0,0.02,0.0792,0.0017
2.4,0,2.439,10.7299,5.4395,0,1.0135,13.0849,0.104,0.0339,0.6251,0.8001,0.005,0,0.0066,0.0091,0.0199,0.0322,0.006,0,0.0261,0.0319,0.0387,0.0019
2.6,0,2.439,0,4.9146,0.156,1.0863,12.1144,0.1665,0.068,0.8651,1.2837,0.013,0,0.0061,0.0143,0.043,0.0161,0.0423,0,0.0177,0,0,0.0091
2.8,0,2.439,8.9899,5.4427,0.0156,1.1281,12.5877,0.1283,0.0502,0.6634,0.8191,0.0023,0,0.0119,0.0069,0.0125,0.0332,0.0149,0.0297,0.0214,0.0162,0.0311,0.0089
3,0,2.439,1.0227,5.0202,0.1768,1.1599,12.6693,0.1483,0.0471,0.7776,1.1381,0.0118,0,0.0139,0,0.029,0.0324,0.0431,0,0.0121,0.042,0.1648,0.0028
3.2,0,2.439,9.3736,4.537,0.2091,1.2952,11.4297,0.1545,0.0708,0.6809,1.0196,0.0096,0,0.0097,0.0039,0.0121,0.024,0.0115,0.013,0,0,0.1252,0.0046
3.4,0,2.439,1.2785,4.7851,0.023,1.1421,13.0834,0.1672,0.0607,0.8245,1.1009,0.014,0.0072,0.0061,0,0.0069,0.0327,0.018,0.0325,0.0214,0.028,0.099,0.0037
3.6,0,2.439,7.3262,5.2982,0.9422,1.0715,12.2499,0.1212,0.0445,0.5909,0.9059,0.0102,0.0022,0.0148,0,0.0134,0.0249,0.0214,0.0328,0.0237,0,0.0633,0.003
3.8,0,2.439,8.6563,3.7639,0.2324,1.0443,12.2279,0.1303,0.0383,0.6663,1.0042,0,0,0.0074,0,0.0053,0.0042,0.0146,0.008,0.0157,0.0178,0.0826,0.005
4,0,2.439,11.7805,6.9546,0.2242,1.0498,12.5195,0.1082,0.0299,0.5804,0.7293,0.007,0.0022,0.0072,0,0.0162,0.0183,0.0269,0.0413,0,0,0.0577,0.0029
4.2,0,2.439,5.7029,6.2193,0.512,1.0302,12.4207,0.1527,0.0411,0.6889,0.9422,0.0079,0,0,0.0071,0.0354,0.0148,0.0454,0,0,0.0115,0.0924,0.0085
4.4,0,2.439,15.9426,3.5564,0.3609,1.2381,11.3516,0.1216,0.0414,0.6322,0.8703,0.0049,0,0.0097,0.0273,0.0209,0.0131,0.0275,0,0.0089,0,0.0363,0
4.6,0,2.439,5.8119,5.6038,0.1942,1.229,11.9105,0.1708,0.0468,0.6789,0.9976,0.0139,0,0.012,0,0.013,0.0157,0.0118,0.024,0.017,0,0.0705,0.0043
4.8,0,2.439,2.2557,5.4838,0.2661,1.2056,11.9678,0.1486,0.0733,0.755,1.1391,0.0053,0,0,0.0217,0.0362,0.0486,0.0199,0,0,0,0.1979,0.003
5,0,2.439,3.0074,3.7607,0.243,1.0259,12.1965,0.1554,0.073,0.7808,0.9114,0.0076,0.0052,0.009,0,0.0082,0.0241,0.0309,0.0424,0.007,0,0.0296,0.0026
5.2,0,2.439,2.8067,6.7944,0.0892,1.1573,12.5409,0.1199,0.0803,0.7116,1.0092,0.013,0,0.0053,0,0.0105,0.029,0.0242,0.0481,0.0123,0.0288,0.1849,0.0044
5.4,0,2.439,9.8933,3.8732,0,0.8426,14.0828,0.1047,0.045,0.6824,0.7927,0.006,0,0.0093,0.0024,0.0384,0.0371,0.0182,0.0172,0.0089,0.0151,0.0978,0.0032
5.6,0,2.439,8.5294,4.8591,0.082,1.0539,12.7423,0.1341,0.048,0.6833,0.8893,0.0088,0,0.008,0,0.0135,0.0097,0.0375,0.0236,0.0081,0.0329,0.0908,0.0047
5.8,0,2.439,5.6606,4.0953,0.1392,1.0487,12.7873,0.1488,0.0482,0.7456,0.9617,0.0037,0,0.0114,0,0.0069,0.0118,0.0158,0.0223,0.0115,0,0.0944,0
6,0,2.439,11.0383,6.5394,0.1775,1.1543,11.8961,0.1294,0.0385,0.6028,0.9159,0.0049,0.0015,0.0035,0.0043,0.0088,0.0173,0.025,0.017,0.0043,0.0081,0.1046,0.0011
6.2,0,2.439,16.3707,5.5335,0.2902,1.1071,11.7716,0.1005,0.0449,0.5398,0.7776,0.0096,0,0.0057,0,0.0135,0.0169,0.0275,0.0099,0.0044,0,0.0933,0.0042
6.4,0,2.439,9.1021,4.8637,0.0874,1.0135,12.9796,0.1055,0.0487,0.6812,0.8226,0.0074,0,0.0054,0,0.0193,0.0238,0.0325,0.0133,0.0141,0.0133,0.1469,0.0045
6.6,0,2.439,0.2812,3.523,0.1993,1.0651,12.8964,0.1674,0.0565,0.8677,1.1125,0.0106,0.0026,0.0139,0,0.0116,0.0318,0.0126,0.0426,0.0123,0.02,0.0859,0
6.8,0,2.439,0,4.7057,0.1238,1.1453,13.0594,0.1895,0.0537,0.8339,1.1038,0.0103,0,0.006,0,0.0182,0.0402,0.0451,0.0312,0,0.0354,0.0677,0.0085
7,0,2.439,4.9755,4.9382,0.2334,1.242,11.8675,0.1755,0.0431,0.6761,1.0406,0,0,0.0028,0.001,0.0069,0.0271,0.0546,0.0153,0.0131,0.0121,0.0723,0.0034
7.2,0,2.439,4.9472,3.8094,0.0587,1.0057,13.1679,0.1197,0.0384,0.7049,0.8861,0.0066,0.0048,0,0.0028,0.011,0.0216,0.0069,0.0073,0,0,0.1215,0.0011
7.4,0,2.439,12.1038,4.2896,0.202,1.0036,12.0687,0.1137,0.0626,0.6237,0.886,0.0028,0,0.0164,0.0026,0.025,0.0292,0.0059,0.0301,0,0,0.0968,0.0023
7.6,0,2.439,0.6936,3.2761,0.1671,0.9007,13.6076,0.1258,0.0523,0.7975,1.0448,0.0047,0,0.0069,0,0.0122,0.0253,0.0433,0.0202,0.0168,0,0.116,0.0023
7.8,0,2.439,9.718,5.1776,0.0725,0.9455,13.7472,0.0797,0.0433,0.6544,0.6871,0.0086,0,0.0085,0,0.014,0.0393,0.0035,0.0173,0.0059,0,0.1349,0
8,0,2.439,10.455,1.5049,0,0.7956,14.1695,0.0832,0.0256,0.6448,0.7144,0,0,0,0.0165,0.0081,0.0424,0.0029,0,0.003,0.0378,0.0799,0.0026
8.2,0,2.439,0,2.8173,0.0661,0.8208,14.5314,0.1189,0.0277,0.9039,1.001,0.0056,0.0028,0.0124,0.0081,0.0209,0.0579,0.0419,0.0107,0.0143,0.0365,0.0965,0
8.4,0,2.439,6.896,5.4505,0.0398,1.1432,11.3971,0.1619,0.0354,0.5816,0.9748,0.0051,0,0.0042,0,0.0128,0.0179,0.0326,0.0145,0.0049,0.0204,0.127,0
