X,Y_c,Z,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Y,Sr,Zr,Pb,Rb,Bi,U,Co,La,Ce,maxElement,minElement,maxValue,minValue
0.0,0.0,0,20.4002,7.703,0.0,2.1812,25.3912,0.2904,0.059,1.1241,1.7495,0.0,0.0,0.0319,0.0453,0.0756,0.0509,0.0541,0.0235,0.0,0.0,0.2562,0.0074,0.0,0.0225,Ca,S,25.3912,0.0
0.1,0.0,0,33.3731,12.1282,0.0092,2.3504,23.2857,0.2044,0.0441,0.9011,1.5462,0.0,0.0,0.0136,0.0311,0.0254,0.0533,0.0249,0.0,0.0167,0.0,0.2864,0.0073,0.0,0.0,Al,Ni,33.3731,0.0
0.2,0.0,0,27.0886,12.0074,0.0,2.3232,24.1362,0.3054,0.0152,0.922,1.6873,0.0129,0.0,0.0306,0.0,0.0376,0.0482,0.031,0.0,0.0369,0.1084,0.2573,0.0042,0.0,0.0124,Al,S,27.0886,0.0
0.3,0.0,0,9.46,7.5788,0.0,1.9355,24.7502,0.3954,0.0598,1.1443,2.0916,0.0143,0.0,0.0286,0.0,0.0228,0.1219,0.0632,0.0,0.0317,0.0,0.1791,0.0144,0.0,0.0,Ca,S,24.7502,0.0
0.4,0.0,0,20.5199,5.8448,0.0,1.9086,25.0017,0.3819,0.022,1.047,1.8759,0.0,0.0057,0.0103,0.0275,0.0209,0.0736,0.081,0.0,0.0257,0.0447,0.2149,0.009,0.0,0.0,Ca,S,25.0017,0.0
0.5,0.0,0,13.3371,8.4197,0.0,1.8858,26.2527,0.2948,0.0554,1.1109,1.7468,0.0143,0.0,0.0,0.0,0.0269,0.0415,0.0823,0.0317,0.0,0.0,0.0418,0.0168,0.0654,0.0,Ca,S,26.2527,0.0
0.6,0.0,0,33.6176,5.8071,0.0,1.5806,27.9879,0.1395,0.0406,1.024,1.0955,0.0076,0.0072,0.0,0.0292,0.0575,0.0313,0.0542,0.0,0.041,0.0,0.201,0.0203,0.0,0.0,Al,S,33.6176,0.0
0.7,0.0,0,7.7752,12.9061,0.0221,1.3762,31.7444,0.1545,0.019,1.4172,1.045,0.0,0.0,0.0,0.0262,0.0236,0.0943,0.0,0.0773,0.0138,0.0,0.7061,0.0085,0.0,0.0,Ca,Ni,31.7444,0.0
0.8,0.0,0,9.5471,6.9422,0.0,1.4126,31.3731,0.1879,0.0393,1.398,1.202,0.0052,0.0,0.0271,0.0495,0.1432,0.0803,0.1176,0.0288,0.0142,0.0773,0.6151,0.0164,0.0,0.0233,Ca,S,31.3731,0.0
0.9,0.0,0,0.0,3.1894,0.0,1.5855,31.2403,0.2612,0.0655,1.6116,1.9503,0.0146,0.0,0.0479,0.0,0.0,0.1598,0.0563,0.2127,0.0118,0.142,0.7559,0.0375,0.0,0.0492,Ca,Al,31.2403,0.0
1.0,0.0,0,23.8125,6.5433,0.0,1.8048,27.6184,0.2233,0.0333,1.0199,1.333,0.0101,0.0,0.0344,0.0548,0.003,0.0932,0.0864,0.0,0.0,0.0,0.4415,0.0075,0.0,0.0,Ca,S,27.6184,0.0
1.1,0.0,0,41.0749,8.2547,0.0,1.9274,25.1154,0.2075,0.0289,0.8484,1.1018,0.0,0.0,0.0186,0.0,0.0,0.1006,0.0,0.0945,0.0175,0.0,0.0795,0.0265,0.0,0.0169,Al,S,41.0749,0.0
1.2,0.0,0,19.2464,12.6837,0.0041,2.2927,23.7249,0.2666,0.0336,0.8971,1.3659,0.0045,0.0046,0.0377,0.0,0.0033,0.0,0.0303,0.0445,0.0,0.0,0.0,0.0069,0.0,0.0,Ca,As,23.7249,0.0
1.3,0.0,0,8.4996,10.3994,0.0,1.9429,22.971,0.213,0.0434,1.0618,1.3423,0.0,0.0,0.0172,0.0111,0.0682,0.093,0.1533,0.0,0.0,0.0441,0.0702,0.0208,0.0,0.0106,Ca,S,22.971,0.0
1.4,0.0,0,17.7678,13.8665,0.0,1.4552,22.1803,0.1543,0.0256,0.9585,0.9013,0.0055,0.0,0.0,0.0,0.0645,0.0,0.0375,0.0,0.0,0.0,0.0,0.0097,0.0,0.0223,Ca,S,22.1803,0.0
1.5,0.0,0,29.9412,18.0335,0.0,1.5827,22.4948,0.1413,0.0351,0.8478,0.7722,0.0088,0.0,0.0161,0.0,0.0,0.0165,0.0434,0.0,0.0359,0.0,0.0,0.0,0.0,0.0,Al,S,29.9412,0.0
